College,counts
"st. xavier's college (autonomous),kolkata",1
st. xavier's college kolkata,1
st. xavier's university,1
"st.xavier's college (autonomous), kolkata",1
st.xavier's college kolkata,1
"st.xavier's college,kolkata",1
narasingha dutt college,1
lady brabourne,1
n.p.t.i(e.r.),1
"dr bc roy engineering & management college , durgapur",1
"bharat university, chennai",1
brabu,1
buet,1
calcutta university ( ballygaunge science college),1
central university of jharkhand,1
"chittaranjan college, kolkata",1
christ university,1
college name - durgapur womens college,1
college of engineering roorkee,1
cummins college of engineering for women,1
daffodil international university,1
"department of pure mathematics, university of calcutta",1
"diatm, durgapur",1
dr. b. c. roy engineering college,1
durgapur womens college,1
dr. b.c.roy engineering college,1
duragpur women's college,1
durgapur institute of advance technology and management,1
durgapur institute of advanced and technology management,1
durgapur institute of advanced technology,1
durgapur institute of advanced technology & management,1
durgapur institute of advanced technology and managemant rajbandh,1
durgapur institute of advanced technology and manegement,1
durgapur institute of advancedpur technology and management,1
durgapur instute of advance technology and management,1
durgapur woman's college,1
durgapur women college,1
durgapur women's collage,1
bethune colege,1
bethune,1
belda college,1
basantidevi college,1
acharya institute of management and sciences,1
akpc mahavidyalaya,1
aliah university,1
american international university of bangladesh (aiub),1
american international university- bangladesh,1
amity university kolkata,1
amta ramsaday college,1
aot,1
asansol engineering college,1
ashutosh college,1
"asutosh college, kolkata",1
at. xavier's college,1
b p poddar institute of management & technology,1
b p podder institute of management and technology,1
b. p. poddar institute of management & technology,1
b. p. poddar institute of technology and management,1
b.p poddar institute of management & technology,1
b.p.p.i.m.t,1
b.p.poddar institute of management & technology,1
b.p.poddar institution of management & technology,1
b.p.podder institute,1
b.p.podder institute of management and technology,1
bangabandhu sheikh mujibur rahman science & technology,1
bangabandhu sheikh mujibur rahman science & technology university,1
bangalore university,1
bangladesh agricultural research institute,1
bangladesh institute of governance and management (bigm),1
durgapur women's college kazi nazrul university,1
dyal singh college (day),1
mugberia gangadhar mahavidyalaya,1
aasansol girls' college,1
jadavpuruniversity,1
jagannath kishore college,1
"jagannath kishore college, purulia",1
"jagannath kishore college,purulia",1
jj glastronics,1
jk college,1
jogomaya devi college,1
kaji najrul invercity,1
kalyani mahavidyalay,1
kerala university,1
lady braborne college,1
lady braboune collage,1
lady braboune college,1
"lady brabourne college, c.u.",1
futuretech private iti,1
"lady brabourne college, calcutta university",1
ladybrabourne college,1
lalbaba college,1
london south bank university,1
mac,1
makaut(formely wbut),1
manipal hospital,1
"maulana abul kalam azad university of technology, w.b",1
maulana azad college kolkata,1
"maulana azad college, university of calcutta",1
maulana azad collehe,1
maulona azad college,1
moulana azad collage,1
j.k.college,1
j.k.clg purulia,1
j.k. college,1
iub,1
gauhati university,1
gl bajaj,1
global engineering college,1
global nature care sangathan group of institutions,1
green university of bangladesh,1
guru nanak institute of pharmaceutical science and technology,1
hffc,1
home,1
hooghly engineering and technology college,1
hyderabad central university,1
igidr,1
iit,1
"iit,university of dhaka",1
"independent university, bangladesh",1
indian institute of engineering science and technology shibpur,1
"indian institute of foreign trade,kolkata",1
indira gandhi institute of development research,1
indira gandhi national university,1
insitiution of engineering and managment,1
institute of engineering and management,1
institute of engineering and management (iem),1
institution / organization / college name,1
international university of scholars,1
international university of scholarsh,1
islamic university of technology (iut),1
"islamic university, kushtia",1
"isrt , university of dhaka",1
zoom international,1
